RedFighter,BlueFighter,Date,Location,Winner,WeightClass,Finish,FinishDetails,FinishRound,WinningFIghter,LosingFighter
Beneil Dariush,Thiago Moises,11/10/18,"Denver, Colorado, USA",Red,Lightweight,U-DEC,None,3,Beneil Dariush,Thiago Moises
Maycee Barber,Hannah Cifers,11/10/18,"Denver, Colorado, USA",Red,Women's Strawweight,KO/TKO,Punches,2,Maycee Barber,Hannah Cifers
Michael Trizano,Luis Pena,11/10/18,"Denver, Colorado, USA",Red,Lightweight,S-DEC,None,3,Michael Trizano,Luis Pena
Ashley Yoder,Amanda Cooper,11/10/18,"Denver, Colorado, USA",Red,Women's Strawweight,S-DEC,None,3,Ashley Yoder,Amanda Cooper
Chas Skelly,Bobby Moffett,11/10/18,"Denver, Colorado, USA",Blue,Featherweight,Overturned,D'Arce Choke,2,Bobby Moffett,Chas Skelly
Davi Ramos,John Gunther,11/10/18,"Denver, Colorado, USA",Red,Lightweight,SUB,Rear Naked Choke,1,Davi Ramos,John Gunther
Devonte Smith,Julian Erosa,11/10/18,"Denver, Colorado, USA",Red,Lightweight,KO/TKO,Punches,1,Devonte Smith,Julian Erosa
Joseph Morales,Eric Shelton,11/10/18,"Denver, Colorado, USA",Blue,Flyweight,S-DEC,None,3,Eric Shelton,Joseph Morales
Mark De La Rosa,Joby Sanchez,11/10/18,"Denver, Colorado, USA",Red,Bantamweight,S-DEC,None,3,Mark De La Rosa,Joby Sanchez
Daniel Cormier,Derrick Lewis,11/3/18,"New York City, New York, USA",Red,Heavyweight,SUB,Rear Naked Choke,2,Daniel Cormier,Derrick Lewis
Chris Weidman,Jacare Souza,11/3/18,"New York City, New York, USA",Blue,Middleweight,KO/TKO,Punches,3,Jacare Souza,Chris Weidman
David Branch,Jared Cannonier,11/3/18,"New York City, New York, USA",Blue,Middleweight,KO/TKO,Punches,2,Jared Cannonier,David Branch
Karl Roberson,Jack Marshman,11/3/18,"New York City, New York, USA",Red,Middleweight,U-DEC,None,3,Karl Roberson,Jack Marshman
Derek Brunson,Israel Adesanya,11/3/18,"New York City, New York, USA",Blue,Middleweight,KO/TKO,Punches,1,Israel Adesanya,Derek Brunson
Jason Knight,Jordan Rinaldi,11/3/18,"New York City, New York, USA",Blue,Featherweight,U-DEC,None,3,Jordan Rinaldi,Jason Knight
Sijara Eubanks,Roxanne Modafferi,11/3/18,"New York City, New York, USA",Red,Women's Flyweight,U-DEC,None,3,Sijara Eubanks,Roxanne Modafferi
Julio Arce,Sheymon Moraes,11/3/18,"New York City, New York, USA",Blue,Featherweight,S-DEC,None,3,Sheymon Moraes,Julio Arce
Lyman Good,Ben Saunders,11/3/18,"New York City, New York, USA",Red,Welterweight,KO/TKO,Punches,1,Lyman Good,Ben Saunders
Shane Burgos,Kurt Holobaugh,11/3/18,"New York City, New York, USA",Red,Featherweight,SUB,Armbar,1,Shane Burgos,Kurt Holobaugh
Adam Wieczorek,Marcos Rogerio de Lima,11/3/18,"New York City, New York, USA",Blue,Heavyweight,U-DEC,None,3,Marcos Rogerio de Lima,Adam Wieczorek
Volkan Oezdemir,Anthony Smith,10/27/18,"Moncton, New Brunswick, Canada",Blue,Light Heavyweight,SUB,Rear Naked Choke,3,Anthony Smith,Volkan Oezdemir
Michael Johnson,Artem Lobov,10/27/18,"Moncton, New Brunswick, Canada",Red,Featherweight,U-DEC,None,3,Michael Johnson,Artem Lobov
Misha Cirkunov,Patrick Cummins,10/27/18,"Moncton, New Brunswick, Canada",Red,Light Heavyweight,SUB,Arm Triangle,1,Misha Cirkunov,Patrick Cummins
Andre Soukhamthath,Jonathan Martinez,10/27/18,"Moncton, New Brunswick, Canada",Red,Bantamweight,U-DEC,None,3,Andre Soukhamthath,Jonathan Martinez
Gian Villante,Ed Herman,10/27/18,"Moncton, New Brunswick, Canada",Red,Light Heavyweight,S-DEC,None,3,Gian Villante,Ed Herman
Alex Garcia,Court McGee,10/27/18,"Moncton, New Brunswick, Canada",Blue,Welterweight,U-DEC,None,3,Court McGee,Alex Garcia
Nordine Taleb,Sean Strickland,10/27/18,"Moncton, New Brunswick, Canada",Blue,Welterweight,KO/TKO,Punch,2,Sean Strickland,Nordine Taleb
Thibault Gouti,Nasrat Haqparast,10/27/18,"Moncton, New Brunswick, Canada",Blue,Lightweight,U-DEC,None,3,Nasrat Haqparast,Thibault Gouti
Calvin Kattar,Chris Fishgold,10/27/18,"Moncton, New Brunswick, Canada",Red,Featherweight,KO/TKO,Punch,1,Calvin Kattar,Chris Fishgold
Sarah Moras,Talita Bernardo,10/27/18,"Moncton, New Brunswick, Canada",Blue,Women's Bantamweight,U-DEC,None,3,Talita Bernardo,Sarah Moras
Te Edwards,Don Madge,10/27/18,"Moncton, New Brunswick, Canada",Blue,Lightweight,KO/TKO,Kick,2,Don Madge,Te Edwards
Arjan Bhullar,Marcelo Golm,10/27/18,"Moncton, New Brunswick, Canada",Red,Heavyweight,U-DEC,None,3,Arjan Bhullar,Marcelo Golm
Stevie Ray,Jessin Ayari,10/27/18,"Moncton, New Brunswick, Canada",Red,Lightweight,U-DEC,None,3,Stevie Ray,Jessin Ayari
Khabib Nurmagomedov,Conor McGregor,10/6/18,"Las Vegas, Nevada, USA",Red,Lightweight,SUB,Neck Crank,4,Khabib Nurmagomedov,Conor McGregor
Tony Ferguson,Anthony Pettis,10/6/18,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,None,2,Tony Ferguson,Anthony Pettis
Ovince Saint Preux,Dominick Reyes,10/6/18,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,U-DEC,None,3,Dominick Reyes,Ovince Saint Preux
Derrick Lewis,Alexander Volkov,10/6/18,"Las Vegas, Nevada, USA",Red,Heavyweight,KO/TKO,Punches,3,Derrick Lewis,Alexander Volkov
Michelle Waterson,Felice Herrig,10/6/18,"Las Vegas, Nevada, USA",Red,Women's Strawweight,U-DEC,None,3,Michelle Waterson,Felice Herrig
Sergio Pettis,Jussier Formiga,10/6/18,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Jussier Formiga,Sergio Pettis
Vicente Luque,Jalin Turner,10/6/18,"Las Vegas, Nevada, USA",Red,Welterweight,KO/TKO,Punches,1,Vicente Luque,Jalin Turner
Aspen Ladd,Tonya Evinger,10/6/18,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,KO/TKO,Punches,1,Aspen Ladd,Tonya Evinger
Scott Holtzman,Alan Patrick,10/6/18,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,Elbows,3,Scott Holtzman,Alan Patrick
Lina Lansberg,Yana Kunitskaya,10/6/18,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,U-DEC,None,3,Yana Kunitskaya,Lina Lansberg
Gray Maynard,Nik Lentz,10/6/18,"Las Vegas, Nevada, USA",Blue,Lightweight,KO/TKO,Kick,2,Nik Lentz,Gray Maynard
Ryan LaFlare,Anthony Rocco Martin,10/6/18,"Las Vegas, Nevada, USA",Blue,Welterweight,KO/TKO,Kick,3,Anthony Rocco Martin,Ryan LaFlare
Thiago Santos,Eryk Anders,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Light Heavyweight,KO/TKO,None,3,Thiago Santos,Eryk Anders
Alex Oliveira,Carlo Pedersoli,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Welterweight,,None,,Alex Oliveira,Carlo Pedersoli
Sam Alvey,Rogerio Nogueira,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Blue,Light Heavyweight,KO/TKO,Punch,2,Rogerio Nogueira,Sam Alvey
Renan Barao,Andre Ewell,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Blue,Bantamweight,S-DEC,None,3,Andre Ewell,Renan Barao
Charles Oliveira,Christos Giagos,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Lightweight,SUB,Rear Naked Choke,2,Charles Oliveira,Christos Giagos
Francisco Trinaldo,Evan Dunham,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Lightweight,KO/TKO,Knee,2,Francisco Trinaldo,Evan Dunham
Luis Henrique,Ryan Spann,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Blue,Light Heavyweight,U-DEC,None,3,Ryan Spann,Luis Henrique
Augusto Sakai,Chase Sherman,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Heavyweight,KO/TKO,Punches,3,Augusto Sakai,Chase Sherman
Sergio Moraes,Ben Saunders,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Welterweight,SUB,Arm Triangle,2,Sergio Moraes,Ben Saunders
Mayra Bueno Silva,Gillian Robertson,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Women's Flyweight,SUB,Armbar,1,Mayra Bueno Silva,Gillian Robertson
Thales Leites,Hector Lombard,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Middleweight,U-DEC,None,3,Thales Leites,Hector Lombard
Elizeu Zaleski dos Santos,Luigi Vendramini,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Welterweight,KO/TKO,Flying Knee,2,Elizeu Zaleski dos Santos,Luigi Vendramini
Livinha Souza,Alex Chambers,9/22/18,"Sao Paulo, Sao Paulo, Brazil",Red,Women's Strawweight,SUB,Guillotine Choke,1,Livinha Souza,Alex Chambers
Mark Hunt,Aleksei Oleinik,9/15/18,"Moscow, Moscow, Russia",Blue,Heavyweight,SUB,Rear Naked Choke,1,Aleksei Oleinik,Mark Hunt
Jan Blachowicz,Nikita Krylov,9/15/18,"Moscow, Moscow, Russia",Red,Light Heavyweight,SUB,Arm Triangle,2,Jan Blachowicz,Nikita Krylov
Andrei Arlovski,Shamil Abdurakhimov,9/15/18,"Moscow, Moscow, Russia",Blue,Heavyweight,U-DEC,None,3,Shamil Abdurakhimov,Andrei Arlovski
Aleksei Kunchenko,Thiago Alves,9/15/18,"Moscow, Moscow, Russia",Red,Welterweight,U-DEC,None,3,Aleksei Kunchenko,Thiago Alves
Khalid Murtazaliev,CB Dollaway,9/15/18,"Moscow, Moscow, Russia",Red,Middleweight,KO/TKO,Punches,2,Khalid Murtazaliev,CB Dollaway
Petr Yan,Jin Soo Son,9/15/18,"Moscow, Moscow, Russia",Red,Bantamweight,U-DEC,None,3,Petr Yan,Jin Soo Son
Rustam Khabilov,Kajan Johnson,9/15/18,"Moscow, Moscow, Russia",Red,Lightweight,S-DEC,None,3,Rustam Khabilov,Kajan Johnson
Mairbek Taisumov,Desmond Green,9/15/18,"Moscow, Moscow, Russia",Red,Lightweight,U-DEC,None,3,Mairbek Taisumov,Desmond Green
Magomed Ankalaev,Marcin Prachnio,9/15/18,"Moscow, Moscow, Russia",Red,Light Heavyweight,KO/TKO,Kick,1,Magomed Ankalaev,Marcin Prachnio
Adam Yandiev,Jordan Johnson,9/15/18,"Moscow, Moscow, Russia",Blue,Middleweight,SUB,Arm Triangle,2,Jordan Johnson,Adam Yandiev
Ramazan Emeev,Stefan Sekulic,9/15/18,"Moscow, Moscow, Russia",Red,Welterweight,U-DEC,None,3,Ramazan Emeev,Stefan Sekulic
Merab Dvalishvili,Terrion Ware,9/15/18,"Moscow, Moscow, Russia",Red,Bantamweight,U-DEC,None,3,Merab Dvalishvili,Terrion Ware
Tyron Woodley,Darren Till,9/8/18,"Dallas, Texas, USA",Red,Welterweight,SUB,D'Arce Choke,2,Tyron Woodley,Darren Till
Jessica Andrade,Karolina Kowalkiewicz,9/8/18,"Dallas, Texas, USA",Red,Women's Strawweight,KO/TKO,Punch,1,Jessica Andrade,Karolina Kowalkiewicz
Zabit Magomedsharipov,Brandon Davis,9/8/18,"Dallas, Texas, USA",Red,Featherweight,SUB,Kneebar,2,Zabit Magomedsharipov,Brandon Davis
Jimmie Rivera,John Dodson,9/8/18,"Dallas, Texas, USA",Red,Bantamweight,U-DEC,None,3,Jimmie Rivera,John Dodson
Abdul Razak Alhassan,Niko Price,9/8/18,"Dallas, Texas, USA",Red,Welterweight,KO/TKO,Punches,1,Abdul Razak Alhassan,Niko Price
Carla Esparza,Tatiana Suarez,9/8/18,"Dallas, Texas, USA",Blue,Women's Strawweight,KO/TKO,Punches,3,Tatiana Suarez,Carla Esparza
Aljamain Sterling,Cody Stamann,9/8/18,"Dallas, Texas, USA",Red,Bantamweight,SUB,Kneebar,2,Aljamain Sterling,Cody Stamann
Geoff Neal,Frank Camacho,9/8/18,"Dallas, Texas, USA",Red,Welterweight,KO/TKO,Kick,2,Geoff Neal,Frank Camacho
Charles Byrd,Darren Stewart,9/8/18,"Dallas, Texas, USA",Blue,Middleweight,KO/TKO,Elbow,2,Darren Stewart,Charles Byrd
Diego Sanchez,Craig White,9/8/18,"Dallas, Texas, USA",Red,Welterweight,U-DEC,None,3,Diego Sanchez,Craig White
Jim Miller,Alex White,9/8/18,"Dallas, Texas, USA",Red,Lightweight,SUB,Rear Naked Choke,1,Jim Miller,Alex White
Irene Aldana,Lucie Pudilova,9/8/18,"Dallas, Texas, USA",Red,Women's Bantamweight,S-DEC,None,3,Irene Aldana,Lucie Pudilova
Roberto Sanchez,Jarred Brooks,9/8/18,"Dallas, Texas, USA",Blue,Flyweight,,None,,Jarred Brooks,Roberto Sanchez
Justin Gaethje,James Vick,8/25/18,"Lincoln, Nebraska, USA",Red,Lightweight,KO/TKO,Punch,1,Justin Gaethje,James Vick
Michael Johnson,Andre Fili,8/25/18,"Lincoln, Nebraska, USA",Red,Featherweight,S-DEC,None,3,Michael Johnson,Andre Fili
Cortney Casey,Angela Hill,8/25/18,"Lincoln, Nebraska, USA",Red,Women's Strawweight,S-DEC,None,3,Cortney Casey,Angela Hill
Jake Ellenberger,Bryan Barberena,8/25/18,"Lincoln, Nebraska, USA",Blue,Welterweight,KO/TKO,Punch,1,Bryan Barberena,Jake Ellenberger
John Moraga,Deiveson Figueiredo,8/25/18,"Lincoln, Nebraska, USA",Blue,Flyweight,KO/TKO,Punch,2,Deiveson Figueiredo,John Moraga
Eryk Anders,Tim Williams,8/25/18,"Lincoln, Nebraska, USA",Red,Middleweight,KO/TKO,Kick,3,Eryk Anders,Tim Williams
James Krause,Warlley Alves,8/25/18,"Lincoln, Nebraska, USA",Red,Welterweight,KO/TKO,Flying Knee,2,James Krause,Warlley Alves
Cory Sandhagen,Iuri Alcantara,8/25/18,"Lincoln, Nebraska, USA",Red,Bantamweight,KO/TKO,Punches,2,Cory Sandhagen,Iuri Alcantara
Andrew Sanchez,Markus Perez,8/25/18,"Lincoln, Nebraska, USA",Red,Middleweight,U-DEC,None,3,Andrew Sanchez,Markus Perez
Mickey Gall,George Sullivan,8/25/18,"Lincoln, Nebraska, USA",Red,Welterweight,SUB,Rear Naked Choke,1,Mickey Gall,George Sullivan
Joanne Calderwood,Kalindra Faria,8/25/18,"Lincoln, Nebraska, USA",Red,Women's Flyweight,SUB,Armbar,1,Joanne Calderwood,Kalindra Faria
Drew Dober,Jon Tuck,8/25/18,"Lincoln, Nebraska, USA",Red,Lightweight,U-DEC,None,3,Drew Dober,Jon Tuck
Rani Yahya,Luke Sanders,8/25/18,"Lincoln, Nebraska, USA",Red,Bantamweight,SUB,Heel Hook,1,Rani Yahya,Luke Sanders
TJ Dillashaw,Cody Garbrandt,8/4/18,"Los Angeles, California, USA",Red,Bantamweight,KO/TKO,Punches,1,TJ Dillashaw,Cody Garbrandt
Demetrious Johnson,Henry Cejudo,8/4/18,"Los Angeles, California, USA",Blue,Flyweight,S-DEC,None,5,Henry Cejudo,Demetrious Johnson
Cub Swanson,Renato Moicano,8/4/18,"Los Angeles, California, USA",Blue,Featherweight,SUB,Rear Naked Choke,1,Renato Moicano,Cub Swanson
Polyana Viana,JJ Aldrich,8/4/18,"Los Angeles, California, USA",Blue,Women's Strawweight,U-DEC,None,3,JJ Aldrich,Polyana Viana
Thiago Santos,Kevin Holland,8/4/18,"Los Angeles, California, USA",Red,Middleweight,U-DEC,None,3,Thiago Santos,Kevin Holland
Pedro Munhoz,Brett Johns,8/4/18,"Los Angeles, California, USA",Red,Bantamweight,U-DEC,None,3,Pedro Munhoz,Brett Johns
Ricky Simon,Montel Jackson,8/4/18,"Los Angeles, California, USA",Red,Bantamweight,U-DEC,None,3,Ricky Simon,Montel Jackson
Ricardo Ramos,Kyung Ho Kang,8/4/18,"Los Angeles, California, USA",Red,Bantamweight,S-DEC,None,3,Ricardo Ramos,Kyung Ho Kang
Matt Sayles,Sheymon Moraes,8/4/18,"Los Angeles, California, USA",Blue,Featherweight,U-DEC,None,3,Sheymon Moraes,Matt Sayles
Alex Perez,Jose Torres,8/4/18,"Los Angeles, California, USA",Red,Flyweight,KO/TKO,Punches,1,Alex Perez,Jose Torres
Danielle Taylor,Weili Zhang,8/4/18,"Los Angeles, California, USA",Blue,Women's Strawweight,U-DEC,None,3,Weili Zhang,Danielle Taylor
Marlon Vera,Wuliji Buren,8/4/18,"Los Angeles, California, USA",Red,Bantamweight,KO/TKO,Punch,2,Marlon Vera,Wuliji Buren
Eddie Alvarez,Dustin Poirier,7/28/18,"Calgary, Alberta, Canada",Blue,Lightweight,KO/TKO,Punches,2,Dustin Poirier,Eddie Alvarez
Jose Aldo,Jeremy Stephens,7/28/18,"Calgary, Alberta, Canada",Red,Featherweight,KO/TKO,Punches,1,Jose Aldo,Jeremy Stephens
Joanna Jedrzejczyk,Tecia Torres,7/28/18,"Calgary, Alberta, Canada",Red,Women's Strawweight,U-DEC,None,3,Joanna Jedrzejczyk,Tecia Torres
Alexander Hernandez,Olivier Aubin-Mercier,7/28/18,"Calgary, Alberta, Canada",Red,Lightweight,U-DEC,None,3,Alexander Hernandez,Olivier Aubin-Mercier
Jordan Mein,Alex Morono,7/28/18,"Calgary, Alberta, Canada",Red,Welterweight,U-DEC,None,3,Jordan Mein,Alex Morono
Hakeem Dawodu,Austin Arnett,7/28/18,"Calgary, Alberta, Canada",Red,Featherweight,U-DEC,None,3,Hakeem Dawodu,Austin Arnett
Kajan Johnson,Islam Makhachev,7/28/18,"Calgary, Alberta, Canada",Blue,Lightweight,SUB,Armbar,1,Islam Makhachev,Kajan Johnson
Gadzhimurad Antigulov,Ion Cutelaba,7/28/18,"Calgary, Alberta, Canada",Blue,Light Heavyweight,KO/TKO,Elbows,1,Ion Cutelaba,Gadzhimurad Antigulov
John Makdessi,Ross Pearson,7/28/18,"Calgary, Alberta, Canada",Red,Lightweight,U-DEC,None,3,John Makdessi,Ross Pearson
Alexis Davis,Katlyn Chookagian,7/28/18,"Calgary, Alberta, Canada",Blue,Women's Flyweight,U-DEC,None,3,Katlyn Chookagian,Alexis Davis
Dustin Ortiz,Matheus Nicolau,7/28/18,"Calgary, Alberta, Canada",Red,Flyweight,,None,,Dustin Ortiz,Matheus Nicolau
Randa Markos,Nina Ansaroff,7/28/18,"Calgary, Alberta, Canada",Blue,Women's Strawweight,U-DEC,None,3,Nina Ansaroff,Randa Markos
Devin Powell,Alvaro Herrera,7/28/18,"Calgary, Alberta, Canada",Red,Lightweight,,None,,Devin Powell,Alvaro Herrera
Mauricio Rua,Anthony Smith,7/22/18,"Hamburg, Hamburg, Germany",Blue,Light Heavyweight,KO/TKO,Punches,1,Anthony Smith,Mauricio Rua
Glover Teixeira,Corey Anderson,7/22/18,"Hamburg, Hamburg, Germany",Blue,Light Heavyweight,U-DEC,None,3,Corey Anderson,Glover Teixeira
Vitor Miranda,Abu Azaitar,7/22/18,"Hamburg, Hamburg, Germany",Blue,Middleweight,U-DEC,None,3,Abu Azaitar,Vitor Miranda
Marcin Tybura,Stefan Struve,7/22/18,"Hamburg, Hamburg, Germany",Red,Heavyweight,U-DEC,None,3,Marcin Tybura,Stefan Struve
Danny Roberts,David Zawada,7/22/18,"Hamburg, Hamburg, Germany",Red,Welterweight,S-DEC,None,3,Danny Roberts,David Zawada
Nasrat Haqparast,Marc Diakiese,7/22/18,"Hamburg, Hamburg, Germany",Red,Lightweight,U-DEC,None,3,Nasrat Haqparast,Marc Diakiese
Nick Hein,Damir Hadzovic,7/22/18,"Hamburg, Hamburg, Germany",Blue,Lightweight,S-DEC,None,3,Damir Hadzovic,Nick Hein
Emil Meek,Bartosz Fabinski,7/22/18,"Hamburg, Hamburg, Germany",Blue,Welterweight,U-DEC,None,3,Bartosz Fabinski,Emil Meek
Khalid Taha,Nad Narimani,7/22/18,"Hamburg, Hamburg, Germany",Blue,Featherweight,U-DEC,None,3,Nad Narimani,Khalid Taha
Justin Ledet,Aleksandar Rakic,7/22/18,"Hamburg, Hamburg, Germany",Blue,Light Heavyweight,U-DEC,None,3,Aleksandar Rakic,Justin Ledet
Davey Grant,Manny Bermudez,7/22/18,"Hamburg, Hamburg, Germany",Blue,Bantamweight,SUB,Triangle Choke,1,Manny Bermudez,Davey Grant
Jeremy Kimball,Darko Stosic,7/22/18,"Hamburg, Hamburg, Germany",Blue,Light Heavyweight,KO/TKO,Elbows,1,Darko Stosic,Jeremy Kimball
Damian Stasiak,Liu Pingyuan,7/22/18,"Hamburg, Hamburg, Germany",Blue,Bantamweight,U-DEC,None,3,Liu Pingyuan,Damian Stasiak
Junior Dos Santos,Blagoy Ivanov,7/14/18,"Boise, Idaho, USA",Red,Heavyweight,U-DEC,None,5,Junior Dos Santos,Blagoy Ivanov
Sage Northcutt,Zak Ottow,7/14/18,"Boise, Idaho, USA",Red,Welterweight,KO/TKO,Punch,2,Sage Northcutt,Zak Ottow
Dennis Bermudez,Rick Glenn,7/14/18,"Boise, Idaho, USA",Blue,Featherweight,S-DEC,None,3,Rick Glenn,Dennis Bermudez
Randy Brown,Niko Price,7/14/18,"Boise, Idaho, USA",Blue,Welterweight,KO/TKO,Punch,2,Niko Price,Randy Brown
Myles Jury,Chad Mendes,7/14/18,"Boise, Idaho, USA",Blue,Featherweight,KO/TKO,Punch,1,Chad Mendes,Myles Jury
Cat Zingano,Marion Reneau,7/14/18,"Boise, Idaho, USA",Red,Women's Bantamweight,U-DEC,None,3,Cat Zingano,Marion Reneau
Eddie Wineland,Alejandro Perez,7/14/18,"Boise, Idaho, USA",Blue,Bantamweight,U-DEC,None,3,Alejandro Perez,Eddie Wineland
Darren Elkins,Alexander Volkanovski,7/14/18,"Boise, Idaho, USA",Blue,Featherweight,U-DEC,None,3,Alexander Volkanovski,Darren Elkins
Justin Scoggins,Said Nurmagomedov,7/14/18,"Boise, Idaho, USA",Blue,Flyweight,S-DEC,None,3,Said Nurmagomedov,Justin Scoggins
Kurt Holobaugh,Raoni Barcelos,7/14/18,"Boise, Idaho, USA",Blue,Featherweight,KO/TKO,Punch,3,Raoni Barcelos,Kurt Holobaugh
Liz Carmouche,Jennifer Maia,7/14/18,"Boise, Idaho, USA",Red,Women's Flyweight,U-DEC,None,3,Liz Carmouche,Jennifer Maia
Mark De La Rosa,Elias Garcia,7/14/18,"Boise, Idaho, USA",Red,Flyweight,SUB,Rear Naked Choke,2,Mark De La Rosa,Elias Garcia
Jessica Aguilar,Jodie Esquibel,7/14/18,"Boise, Idaho, USA",Red,Women's Strawweight,U-DEC,None,3,Jessica Aguilar,Jodie Esquibel
Stipe Miocic,Daniel Cormier,7/7/18,"Las Vegas, Nevada, USA",Blue,Heavyweight,KO/TKO,Punches,1,Daniel Cormier,Stipe Miocic
Francis Ngannou,Derrick Lewis,7/7/18,"Las Vegas, Nevada, USA",Blue,Heavyweight,U-DEC,None,3,Derrick Lewis,Francis Ngannou
Paul Felder,Mike Perry,7/7/18,"Las Vegas, Nevada, USA",Blue,Welterweight,S-DEC,None,3,Mike Perry,Paul Felder
Michael Chiesa,Anthony Pettis,7/7/18,"Las Vegas, Nevada, USA",Blue,Lightweight,SUB,Triangle Choke,2,Anthony Pettis,Michael Chiesa
Gokhan Saki,Khalil Rountree Jr.,7/7/18,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,KO/TKO,Punches,1,Khalil Rountree Jr.,Gokhan Saki
Uriah Hall,Paulo Costa,7/7/18,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punches,2,Paulo Costa,Uriah Hall
Raphael Assuncao,Rob Font,7/7/18,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Raphael Assuncao,Rob Font
Lando Vannata,Drakkar Klose,7/7/18,"Las Vegas, Nevada, USA",Blue,Lightweight,U-DEC,None,3,Drakkar Klose,Lando Vannata
Curtis Millender,Max Griffin,7/7/18,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Curtis Millender,Max Griffin
Dan Hooker,Gilbert Burns,7/7/18,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,Punches,1,Dan Hooker,Gilbert Burns
Jamie Moyle,Emily Whitmire,7/7/18,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Emily Whitmire,Jamie Moyle
Brad Tavares,Israel Adesanya,7/6/18,"Las Vegas, Nevada, USA",Blue,Middleweight,U-DEC,None,5,Israel Adesanya,Brad Tavares
Michael Trizano,Joe Giannetti,7/6/18,"Las Vegas, Nevada, USA",Red,Lightweight,S-DEC,None,3,Michael Trizano,Joe Giannetti
Jay Cucciniello,Brad Katona,7/6/18,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Brad Katona,Jay Cucciniello
Alex Caceres,Martin Bravo,7/6/18,"Las Vegas, Nevada, USA",Red,Featherweight,S-DEC,None,3,Alex Caceres,Martin Bravo
Roxanne Modafferi,Barb Honchak,7/6/18,"Las Vegas, Nevada, USA",Red,Women's Flyweight,KO/TKO,Elbows,2,Roxanne Modafferi,Barb Honchak
Alessio Di Chirico,Julian Marquez,7/6/18,"Las Vegas, Nevada, USA",Red,Middleweight,S-DEC,None,3,Alessio Di Chirico,Julian Marquez
Montana De La Rosa,Rachael Ostovich,7/6/18,"Las Vegas, Nevada, USA",Red,Women's Flyweight,SUB,Rear Naked Choke,3,Montana De La Rosa,Rachael Ostovich
Luis Pena,Richie Smullen,7/6/18,"Las Vegas, Nevada, USA",Red,Lightweight,SUB,Guillotine Choke,1,Luis Pena,Richie Smullen
John Gunther,Allan Zuniga,7/6/18,"Las Vegas, Nevada, USA",Red,Lightweight,M-DEC,None,3,John Gunther,Allan Zuniga
Tyler Diamond,Bryce Mitchell,7/6/18,"Las Vegas, Nevada, USA",Blue,Featherweight,M-DEC,None,3,Bryce Mitchell,Tyler Diamond
Matt Bessette,Steven Peterson,7/6/18,"Las Vegas, Nevada, USA",Blue,Featherweight,S-DEC,None,3,Steven Peterson,Matt Bessette
Gerald Meerschaert,Oskar Piechota,7/6/18,"Las Vegas, Nevada, USA",Red,Middleweight,SUB,Rear Naked Choke,2,Gerald Meerschaert,Oskar Piechota
Donald Cerrone,Leon Edwards,6/23/18,"Kallang, Singapore",Blue,Welterweight,U-DEC,None,5,Leon Edwards,Donald Cerrone
Ovince Saint Preux,Tyson Pedro,6/23/18,"Kallang, Singapore",Red,Light Heavyweight,SUB,Armbar,1,Ovince Saint Preux,Tyson Pedro
Jessica-Rose Clark,Jessica Eye,6/23/18,"Kallang, Singapore",Blue,Women's Flyweight,U-DEC,None,3,Jessica Eye,Jessica-Rose Clark
Li Jingliang,Daichi Abe,6/23/18,"Kallang, Singapore",Red,Welterweight,,None,,Li Jingliang,Daichi Abe
Teruto Ishihara,Petr Yan,6/23/18,"Kallang, Singapore",Blue,Bantamweight,KO/TKO,Punch,1,Petr Yan,Teruto Ishihara
Felipe Arantes,Song Yadong,6/23/18,"Kallang, Singapore",Blue,Bantamweight,KO/TKO,Elbow,2,Song Yadong,Felipe Arantes
Rolando Dy,Shane Young,6/23/18,"Kallang, Singapore",Blue,Featherweight,KO/TKO,Elbow,2,Shane Young,Rolando Dy
Song Kenan,Hector Aldana,6/23/18,"Kallang, Singapore",Red,Welterweight,,None,,Song Kenan,Hector Aldana
